yr,rgCode,rgDesc,rtCode,rtTitle,ptCode,ptTitle,cmdCode,cmdDescE,TradeValue
2014,2,Export,68,Bolivia (Plurinational State of),32,Argentina,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",898
2002,2,Export,392,Japan,616,Poland,87,Vehicles other than railway or tramway rolling stock,94350504
2019,2,Export,97,EU-28,484,Mexico,47,Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,10912700
2001,1,Import,458,Malaysia,414,Kuwait,39,Plastics and articles thereof,12259977
2010,1,Import,144,Sri Lanka,752,Sweden,87,"Vehicles other than railway or tramway rolling-stock, and parts and accessories thereof",62153
2008,2,Export,757,Switzerland,410,Rep. of Korea,62,"Articles of apparel and clothing accessories, not knitted or crocheted",28515223
2000,2,Export,608,Philippines,643,Russian Federation,96,Miscellaneous manufactured articles,7187
2010,1,Import,40,Austria,372,Ireland,66,"Umbrella, sun umbrellas, walking-sticks, seat-sticks, whips, riding-crops and parts thereof",125
2018,1,Import,97,EU-28,580,N. Mariana Isds,62,Apparel and clothing accessories; not knitted or crocheted,599
1991,2,Export,780,Trinidad and Tobago,381,Italy,90,"Optical, photo, technical, medical, etc apparatus",5819
2009,2,Export,528,Netherlands,703,Slovakia,50,Silk,2791
1995,1,Import,682,Saudi Arabia,410,Rep. of Korea,37,Photographic or cinematographic goods,36080
2002,1,Import,320,Guatemala,214,Dominican Rep.,18,Cocoa and cocoa preparations,110686
2018,1,Import,97,EU-28,270,Gambia,76,Aluminium and articles thereof,472
1993,1,Import,84,Belize,58,Belgium-Luxembourg,38,Miscellaneous chemical products,54225
2001,2,Export,842,USA,440,Lithuania,10,Cereals,807547
2011,2,Export,97,EU-28,364,Iran,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",59938627
2011,1,Import,124,Canada,20,Andorra,95,"Toys, games and sports requisites; parts and accessories thereof",3484
1991,2,Export,792,Turkey,724,Spain,52,Cotton,3991297
2010,1,Import,72,Botswana,276,Germany,92,Musical instruments; parts and accessories of such articles,11685
2008,1,Import,372,Ireland,348,Hungary,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",837
1992,1,Import,12,Algeria,58,Belgium-Luxembourg,28,"Inorganic chemicals, precious metal compound, isotope",7912991
2002,2,Export,404,Kenya,156,China,06,Live trees and other plants;,1455457
1997,2,Export,52,Barbados,780,Trinidad and Tobago,74,Copper and articles thereof,2712
1999,2,Export,724,Spain,704,Viet Nam,11,"Milling products, malt, starches, inulin, wheat gluten",13581
2000,1,Import,266,Gabon,760,Syria,57,Carpets and other textile floor coverings,1014
2010,2,Export,112,Belarus,699,India,55,Man-made staple fibres,6131100
