yr,rgCode,rtCode,ptCode,cmdCode,TradeValue
2016,1,484,276,91,1881692
2002,2,703,203,04,34413107
2017,1,40,579,95,667420
2008,1,404,12,29,145490
2016,1,97,699,14,29851060
2010,2,705,807,41,283236
1989,2,458,4,33,55916
2002,1,660,484,69,7920
2004,1,234,320,03,64
2004,1,643,826,16,19067
1996,1,752,620,50,2386
2004,1,752,710,72,65784531
1996,2,152,218,02,436889
2008,1,233,344,96,238010
2011,1,643,484,82,4259789
1990,2,764,757,59,11500
1993,2,392,196,30,35109
1995,1,203,440,59,222524
2001,2,392,422,79,41076
1997,1,826,156,26,37610796
2011,1,352,490,41,151
2018,1,642,498,86,37085
2004,1,90,156,61,412641
2014,1,484,826,15,1235586
1999,2,804,203,29,677005
2008,1,703,788,44,505
2005,2,800,646,70,130863
2006,1,826,364,38,1107
2012,1,562,231,65,18445
2014,1,36,764,22,8992772
2013,1,203,76,91,6839
2010,2,608,144,95,147756
2009,2,246,446,82,15641
2012,1,112,440,69,924700
2018,2,757,178,79,15
1993,2,752,214,87,199561
2009,1,156,120,84,57
2003,2,422,642,70,7578
2009,1,703,710,30,41
2003,1,124,826,41,3553348
2008,1,798,826,74,360
2001,2,156,860,34,263121
2008,1,410,579,44,34897
2009,2,156,364,74,14480222
2013,2,566,344,28,438204
2015,1,608,76,44,71590
2002,1,90,458,59,165
2002,2,558,0,31,42238
2016,2,699,64,61,9302
2017,1,251,686,96,22055
1989,2,620,711,58,87546
2010,2,620,170,59,20404
2016,1,24,360,88,17256
2008,1,56,40,32,11618866
2019,1,642,643,40,104809093
1996,2,891,804,83,12000
2006,2,246,704,83,170
1999,2,156,364,12,19804
2006,2,736,458,99,1035
2009,2,203,410,07,27067
1995,2,300,690,33,7816
2011,2,191,132,84,72015
2011,2,642,643,17,384344
2001,2,643,616,44,14690671
2012,2,764,242,50,1117
2011,2,458,418,85,1429232
2006,1,462,0,41,19295
2014,2,710,462,39,5505
2001,1,620,608,39,37348
2004,1,208,332,84,43
2018,1,97,384,75,50646
2015,1,251,458,46,30
2006,1,8,792,69,2203880
2001,2,702,120,82,9583
2018,2,579,124,15,803406
2018,1,428,528,09,2631459
2005,1,372,170,90,54787
2018,1,56,807,17,478834
1997,1,276,860,42,1731
2019,1,348,705,45,107
2015,1,705,804,82,69
1999,2,56,344,04,1005953
2018,2,56,52,64,921
2011,2,214,156,21,162376
1995,2,703,792,48,2609732
